# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC1	YMR056C	YMR056C	protein_coding	0	2	1	32	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	2	23
AAC3	YBR085W	YBR085W	protein_coding	0	1	1	60	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	1	29
AAD10	YJR155W	YJR155W	protein_coding	0	0	1	13	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	12
AAD14	YNL331C	YNL331C	protein_coding	0	6	3	59	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	6	53
AAD16	YFL057C	YFL057C	protein_coding	0	0	0	32	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30
AAD3	YCR107W	YCR107W	protein_coding	0	0	2	14	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	8
AAD4	YDL243C	YDL243C	protein_coding	0	2	1	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	3
AAD6	YFL056C	YFL056C	protein_coding	0	0	0	46	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	44
AAH1	YNL141W	YNL141W	protein_coding	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AAP1	YHR047C	YHR047C	protein_coding	0	0	0	23	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11
AAR2	YBL074C	YBL074C	protein_coding	0	0	1	6	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4
AAT1	YKL106W	YKL106W	protein_coding	0	3	3	91	0	0	0	0	42	0	0	0	3	0	0	0	0	0	0	0	0	3	49
AAT2	YLR027C	YLR027C	protein_coding	0	3	2	15	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	3	6
ABD1	YBR236C	YBR236C	protein_coding	0	3	3	67	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	3	39
ABF1	YKL112W	YKL112W	protein_coding	0	13	5	56	0	0	0	0	31	0	0	0	5	0	0	0	0	0	0	0	0	13	25
ABF2	YMR072W	YMR072W	protein_coding	0	0	0	18	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ABM1	YJR108W	YJR108W	protein_coding	1	2	2	57	0	0	0	0	24	0	0	0	2	0	0	0	1	0	0	1	0	2	33
ABP1	YCR088W	YCR088W	protein_coding	0	3	5	23	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	3	22
ABP140	YOR239W	YOR239W	protein_coding	0	0	3	17	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	10
ABZ1	YNR033W	YNR033W	protein_coding	0	5	5	15	0	0	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	5	3
ABZ2	YMR289W	YMR289W	protein_coding	0	2	3	44	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	2	30
ACA1	YER045C	YER045C	protein_coding	0	8	9	59	0	0	0	0	12	0	0	0	9	0	0	0	0	0	0	0	0	8	47
ACB1	YGR037C	YGR037C	protein_coding	0	0	0	30	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ACC1	YNR016C	YNR016C	protein_coding	0	10	1	6	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	10	2
ACE2	YLR131C	YLR131C	protein_coding	0	1	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5
ACF2	YLR144C	YLR144C	protein_coding	0	1	2	5	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1
ACF4	YJR083C	YJR083C	protein_coding	0	3	4	72	0	0	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	3	39
ACH1	YBL015W	YBL015W	protein_coding	0	5	0	78	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	5	36
ACK1	YDL203C	YDL203C	protein_coding	0	15	6	59	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	15	35
ACM1	YPL267W	YPL267W	protein_coding	0	0	1	8	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	3
ACO1	YLR304C	YLR304C	protein_coding	0	6	0	35	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	24
ACO2	YJL200C	YJL200C	protein_coding	0	9	4	67	0	0	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	9	42
ACP1	YKL192C	YKL192C	protein_coding	0	1	1	72	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	1	51
ACS1	YAL054C	YAL054C	protein_coding	0	9	2	82	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	0	9	32
ACS2	YLR153C	YLR153C	protein_coding	0	1	2	24	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	1	6
ACT1	YFL039C	YFL039C	protein_coding	0	0	1	63	0	0	0	0	38	0	0	1	1	0	0	0	0	0	0	0	0	0	24
ADA2	YDR448W	YDR448W	protein_coding	0	1	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ADD37	YMR184W	YMR184W	protein_coding	0	0	3	9	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	2
ADD66	YKL206C	YKL206C	protein_coding	0	0	0	65	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ADE1	YAR015W	YAR015W	protein_coding	0	8	0	29	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	8	12
ADE12	YNL220W	YNL220W	protein_coding	0	4	2	16	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	4	11
ADE13	YLR359W	YLR359W	protein_coding	0	4	0	58	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	4	30
ADE16	YLR028C	YLR028C	protein_coding	0	2	1	15	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	2	2
ADE17	YMR120C	YMR120C	protein_coding	0	5	0	102	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	5	58
ADE2	YOR128C	YOR128C	protein_coding	0	4	1	55	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	4	24
ADE3	YGR204W	YGR204W	protein_coding	0	13	3	56	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	13	17
ADE4	YMR300C	YMR300C	protein_coding	0	0	0	41	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	29
ADE5,7	YGL234W	YGL234W	protein_coding	0	0	0	40	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	38
ADE6	YGR061C	YGR061C	protein_coding	0	2	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	8
ADE8	YDR408C	YDR408C	protein_coding	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4
